"clave","es","en",
"CONTROL_SUPPORT","ESTE VIDEOJUEGO SOPORTA EL USO DE","THIS VIDEOGAME SUPPORTS THE USE OF",
"STORY_BUTTON","STORY","STORY",
"ENDLESS_BUTTON","ENDLESS","ENDLESS",
"OPTION_BUTTON","OPCIONES","OPTIONS",
"EXIT_BUTTON","SALIR","EXIT",
"VOLUME_SLIDER","VOLÚMEN","VOLUME",
"FULLSCREEN_TOGGLE","PANTALLA COMPLETA","FULLSCREEN",
"IDIOMA_OPTION","IDIOMA","LANGUAGE",
"CALIDAD_OPTION","CALIDAD","QUALITY",
"RESOLUTION_OPTION","RESOLUCIÓN","RESOLUTION",
"ES_DROPDOWN","ESPAÑOL","SPANISH",
"EN_DROPDOWN","INGLÉS","ENGLISH",
"LOWSETTING_DROPDOWN","BAJA","LOW",
"MEDSETTING_DROPDOWN","MEDIA","MEDIUM",
"HIGSETTING_DROPDOWN","ALTA","HIGH",
"CONTINUAR_BUTTON","CONTINUAR","CONTINUE",
"AJUSTES_BUTTON","AJUSTES","OPTIONS",
"SALIR_BUTTON","SALIR","EXIT",
"PAUSAR_SUGG","PAUSAR PARTIDA","PAUSE GAME",
"TUTORIAL_MOV","Movimiento","Movement",
"TUTORIAL_WEAPON","Desenfundar","Weapon Draw",
"TUTORIAL_AIM","Apuntar","Aim",
"TUTORIAL_SHOOT","Disparar","Shoot",
"TUTORIAL_DASH","Carrera","Dash",
"TUTORIAL_SHOOT2ND","Granada","Grenade",
"TUTORIAL_STATS","Estadísticas","Stats",
"TUTORIAL_BANDAGE","Usar vendaje","Use Bandage",
"DL_TS_INTRO","¡Atención! A los prisioneros del Sector 8 se les ordena desplazarse a la zona de despliegue S-1 inmediatamente.","Attention! Prisoners in Sector 8 are ordered to move to deployment zone S-1 immediately.",
"DL_TS_VENTANA","Se puede ver la Tierra... ¿Cuánto tiempo llevamos encerrados en este lugar?","You can see the Earth ... How long have we been locked up in this place?",
"DL_TS_PASILLO","Acérquense al guardia más cercano para obtener su equipamiento. Cualquier actitud peligrosa en contra del personal será castigada inmediatamente con la muerte.","Approach the nearest guard to get your equipment. Any dangerous attitude against staff will be immediately punished with death.",
"DL_TS_GUARD_1","Tomen su equipo del mesón y lárguense pronto de este lugar... Nadie los quiere aquí.","Grab your equipment from the table and get out of this place soon ... Nobody wants you here.",
"DL_TS_GUARD_2","Si necesitan revisarlo antes de partir, pueden comprobar los registros en el primer carril de entrenamiento.","If you need to check it before leaving, you can see the logs in the first training lane.",
"DL_TS_GUARD2","No intentes nada peligroso.... o te volaré la cabeza de un tiro...","Don't try anything dangerous ... or I'll blow your head off ...",
"DL_TS_GUARD3_1","Por mucho que sean criminales condenados a muerte...ehh...","Even though you are criminals sentenced to death ... ehh ...",
"DL_TS_GUARD3_2","Tengan cuidado, muchos de nosotros no hemos vuelto de las expediciones...","Be careful, many of us have not returned from expeditions ...",
"DL_TS_GUARD3_3","Sabemos que este es un destino cruel...pero al menos pueden luchar y...de cierta manera...elegir cómo y dónde morir...","We know this is a cruel fate ... but at least you can fight and ... in a way ... choose how and where to die ...",
"DL_TS_GUARD3_4","Buena Suerte.","Good Luck.",
"DL_TS_HQ_1","Como se les habrá mencionado con anterioridad serán enviados a la Tierra como una brigada de emergencia.","As mentioned at some point, you will be sent to Earth as an emergency brigade.",
"DL_TS_HQ_2","Todos saben que dada su condición de prisioneros el castigo capital fue intercambiado - Voluntariamente - por la participación en esta misión","Everyone knows that given your status as prisoners the capital punishment was exchanged - voluntarily - for participation in this mission",
"DL_TS_HQ_3","Si necesitan un mayor detalle sobre lo que harán en su despliegue, diríganse a la puerta superior.","If you need more detail on what you will be doing on your deployment, head to the top door.",
"DL_TS_HQ_MISSION_1","Lo que ven aquí es un motor antiguo de terraformación. El tiempo y las condiciones climáticas de la Tierra los han deteriorado y de alguna u otra forma se han fusionado con la fauna local.","What you see here is an old terraforming motor. The time and climatic conditions of the Earth have deteriorated them and in one way or another they have merged with the local fauna.",
"DL_TS_HQ_MISSION_2","No entendemos muy bien el proceso que ocurrió, pero luego de meses de investigación sabemos que aún funcionan y es una de las últimas opciones que nos quedan para volver la Tierra habitable nuevamente.","We don't understand very well the process that occurred, but after months of research we know that they still work and it is one of the last options we have to make the Earth habitable again.",
"DL_TS_HQ_MISSION_3","Dado los riesgos de logísticas podemos enviar limitados recursos a sus posiciones. Por lo cual, sólo los intercambiaremos por muestras obtenidas, ya sea de material biológico o tecnología útil encontrada en la Tierra.","Given the logistics risks we can send limited resources to your positions. Therefore, we will only exchange them for samples obtained, either from biological material or useful technology found on Earth.",
"DL_TS_HQ_MISSION_4","El contacto es complejo por la densidad de la atmósfera, por lo que si pierden el contacto vinculado a la  nave, estarán completamente aislados y su única posibilidad de retomarlo será a través de la líneas integradas en los núcleos.","Contact is complex due to the density of the atmosphere, so if you lose the comms from to the spacecraft, you will be completely isolated and your only possibility of resuming it will be through the lines integrated within the cores",
"DL_TS_HQ_MISSION_5","Dicho esto, cualquier intercambio será a través de estos puntos conocidos y estables para el envío y aterrizaje de cualquier dispositivo o refuerzo solicitado.","That said, any exchange will be through these known and stable points for the dispatch and landing of any requested device or reinforcement.",
"DL_TS_HQ_MISSION_6","Por lo cual, en caso de perder a algún miembro, el envío de reemplazos solo será realizado después de que HQ confirme que encontraron un núcleo o después de un pulso de este.","Therefore, in case of losing a member, the sending of replacements will only be made after HQ confirms that you found a core or after a pulse of this one.",
"DL_TS_HQ_MISSION_7","Si solicitan refuerzos fuera de estas circunstancias serán inmediatamente negados. Eso es todo.","If you request reinforcements in any other circumstance they will be immediately denied. That's all.",
"DL_TS_HQ2_1","Un último punto importante a mencionar.","One last important point to mention.",
"DL_TS_HQ2_2","Existen otras unidades desplegadas en misiones similares o de otras características en la superficie terrestre. Por lo que, cualquier aproximación está totalmente prohibida.","There are other units deployed on similar missions or with others purposes on Earth's surface. Therefore, any approach is totally prohibited.",
"DL_TS_HQ2_3","Estas tienen explícitas ordenes de no entablar contacto con ustedes bajo ninguna circunstancia. Si se acercan, serán considerados una amenaza y eliminados en el acto.","They have explicit orders not to contact you under any circumstances. If you get close, you will be seen as a threat and eliminated on the spot.",
"DS_DEATHTEXT","La esperanza se ha perdido...","Hope is lost...",
"DS_PULSATEXT","Pulsa","Press",
"DS_RESTARTTEXT","Para reiniciar la partida","To Restart the Game",
"WS_MISSION0_TEXT","Misión 0: Completada","Mission 0: Complete",
"WS_MISSION0_SUBTEXT","¿Qué nos espera en la Tierra?","¿What awaits us on Earth?",
"JS_TEXT","Pareces estar en un sueño profundo","You seem to be in a deep sleep...",
"JS_SUGGTEXT","Para comenzar la partida","To start the game",
"JS_JOINTEXT","Para unirte","To join",
"SUGG_SHOP","Tienda","Shop",
"SUGG_BUILD","Construir","Build",
"SUGG_ACT","Activar","Activate",
"WS_MISSION1_TEXT","Sector Terraformado","Terraformed Sector",
"WS_MISSION1_SUBTEXT","Por Ahora...","For Now...",
"WE_ROUND_TEXT","Ronda","Round",
"WE_TITLE_TEXT","Lo mismo de ayer...","The same as yesterday",
"WE_DESCR_TEXT","Lo mismo, ¿no?","The same, right?",
"WE_SOL_TITLE","Soleado","Sunny",
"WE_SOL_DESCR","Parece que el cielo te sonríe","It seems that the sky is smiling at you",
"WE_DIA_TITLE","Día","Day",
"WE_DIA_DESCR","Un día más, como cualquier otro...","One more day, like any other...",
"WE_TOR_TITLE","Tormenta","Storm",
"WE_TOR_DESCR","El cielo se rie de tí... ¿Podrás sobrevivir?","The sky laughs at you... Can you survive?",
"WE_RAIN_TITLE","Lluvia","Rain",
"WE_RAIN_DESCR","Trae consigo más que solo agua...","Brings more than just water...",
"WE_DARK_TITLE","Oscuridad Profunda","Deep Darkness",
"WE_DARK_DESCR","La luz te abandona...al igual que la esperanza...","The light leaves you... just like hope...",
"WE_NIGHT_TITLE","Oscuridad","Darkness",
"WE_NIGHT_DESCR","Está un poco oscuro...¿No?","It's a bit dark ... isn't it?",
"BOSS_TITLE","Ronda Final","Final Round",
"BOSS_DESCR","Se siente la aparición de una fuerte presencia al norte...","You can feel the emergence of a strong presence in the north...",
"BOSS_END_TITLE","¡Corre al núcleo!","Run to the Core!",
"BOSS_END_DESCR","¡Corre tan rápido como puedas!","Run as fast as you can!",
"SHOP_SUGG_CONFIRMAR","Confirmar","Confirm",
"SHOP_SUGG_CANCELAR","Cancelar","Cancel",
"SHOP_SUGG_CLOSE","Cerrar Tienda","Close Shop",
"JS_TEXT_MISSION1","Esperando Respuesta...","Waiting for an answer...",
"DL_M1_SPACECRAFT_1","La nave perdió todo control al entrar en la atmósfera...","The spacecraft lost all control upon entering the atmosphere...",
"DL_M1_SPACECRAFT_2","Tampoco parece haber comunicación de ningún tipo con la base...","It seems that we lost contact with HQ...",
"DL_M1_SPACECRAFT_3","¿Qué está pasando en la Tierra?","What's happening on Earth?",
"DL_M1_NUCLEO_1","¿Esto es lo que debemos activar?","This is what we should activate?",
"DL_M1_NUCLEO_2","Parece demasiado sencillo como para darnos armas y todo este equipo...","It seems too simple to give us weapons and all this equipment...",
"DL_M1_NUCLEO_3","No entiendo muy bien como activarlo, parece faltar una pieza...","I don't really understand how to activate it, a piece seems to be missing...",
"DL_M1_LAGO_1","Un Lago...","A Lake...",
"DL_M1_LAGO_2","Creí escuchar a los guardias decir que toda el agua estaba contaminada...","I thought I heard the guards say that all the water was contaminated...",
"DL_M1_STORE","Una tienda... ¿Quedará algo útil dentro aún?...","A store ... Is there something useful still inside?...",
"DL_M1_STORE2","Todo parece estar expirado... No es para nada una sorpresa...","Everything seems to be expired... It's not a surprise at all ...",
"DL_M1_STORE3_1","¿Qué demonios está pasando aquí? ¿Qué era esa criatura, un perro salvaje?","What the hell is happening here? What was that creature, a wild dog?",
"DL_M1_STORE3_2","Esos son guardias de Élite. ¿Estaban protegiendo algo?","Those are Elite guards. Were they protecting something?",
"DL_M1_BOSQUE","Un bosque... Parece demasiado denso como para atravesarlo","A forest... It seems too dense to go through",
"DL_M1_BANDA","!Aún recuerdo a esa banda! Era una de las favoritas de mis abuelos.","I still remember that band! It was one of my grandparents' favorites.",
"DL_M1_PREBOSS_1","El camino parece bloqueado recientemente","The road seems blocked recently",
"DL_M1_PREBOSS_2","¿Con qué finalidad lo harían? ¿Intentan detener a algo o a alguien?","For what purpose would they do it? Are they trying to stop something or someone?",
"DL_M1_RVOZ_1","REGISTRO DE AUDIO A TEXTO - 009:....","AUDIO TO TEXT RECORD - 009:....",
"DL_M1_RVOZ_2","No sé quién este leyendo esto, pero en este momento ya no importa - BZZZZ - Se nos encargó activar uno de los núcleos de esta región - BZZZZZ -","I don't know who is reading this, but right now it doesn't matter anymore - BZZZZ - We were ordered to activate one of the cores of this region",
"DL_M1_RVOZ_3","¡Pero no teníamos idea! HQ no mencionó nada de esto... ¡Salieron como una plaga enfocados en destruir el núcleo, como si su vida dependiese de ello!","But we had no idea! HQ didn't mention any of this... They came out like a plague focused on destroying the core, as if their life depended on it!",
"DL_M1_RVOZ_4","Logramos desactivarlo quitando este cristal, pero estaban decididos a acabar con nosotros...","We managed to deactivate it by removing this crystal, but they were determined to finish us off...",
"DL_M1_RVOZ_5","Me pregunto si: ¿Realmente vale la pena perder la vida por esto?...","I wonder if: Is it really worth losing our lives for this? ...",
"DL_M1_GUARDIALAGO_1","Es un bonito lugar ¿No?... Tranquilo no reportaré nada, tú no me has visto ni yo a tí.","It's a nice place, isn't it?... Don't worry, I won't report anything, you haven't seen me and I haven't seen you.",
"DL_M1_GUARDIALAGO_2","Parece un sueño ver nuevamente agua limpia en la Tierra :).","It seems like a dream to see clean water on Earth again :).",
"DL_M1_GUARDCAMP","Un Campamento de Guardias...Si nos acercamos debemos estar preparados para luchar a muerte.","A Guard Camp...If we get close we must be prepared to fight to the death.",
"DL_M1_DEATHGUARD_1","Tal parece que la llegada de nuestra nave no fue un signo de buena suerte para él...","It seems that the arrival of our ship was not a sign of good luck for him ...",
"DL_M1_DEATHGUARD_2","Que mala forma de morir...","What a bad way to die...",
"DL_M1_DEATHGUARD_3","Parece que llevaba muestras valiosas hacia algún lugar...¿Deberíamos tomarlas?","It seems he was carrying valuable samples somewhere... should we take them?",
"DL_M1_DEATHGUARD_4","Bueno. No creo que él pueda detenernos de todas formas.","Well. I don't think he can stop us anyway.",
"ITEM_SHOP_BANDAGE","Paquete de baja calidad de curación...al menos todavía sirve","Low-quality healing package ... at least it still works",
"ITEM_SHOP_DAMAGE1ST","Balas experimentales enviadas desde la base (Son más potentes, pero también más peligrosas)","Experimental bullets sent from the base (They are more powerful, but also more dangerous)",
"ITEM_SHOP_RADIOGRENADE,"La granada se construye con un nueva aleación, que con pequeños ajustes permite un radio de efecto más grande sin cambiar la cantidad de explosivo requerido.","The grenade is built with a new alloy, which with minor adjustments allows for a larger radius of effect without changing the amount of explosive required.",
"ITEM_SHOP_EXPAND","Potencia el área de efecto de despliege, permitiendo comprar recursos y enviar señales a mayor distancia de este.","It enhances the deployment area, allowing you to buy resources and send signals at a greater distance from it.",
"ITEM_SHOP_REPAIRCORE","Herramientas usadas enviadas desde la base, al menos sirven para reparar el Núcleo.","Used tools sent from the base, at least they can be used to repair the Core",
"ITEM_SHOP_DELAY1ST","Piezas de baja calidad enviadas para reforzar nuestras armas. (Nos hace disparar más rápido :D)","Low quality parts sent to reinforce our weapons. (It makes us shoot faster :D)",
"ITEM_SHOP_DELAYGRENADE","Piezas experimentales de dudosa manufactura que permiten al lanzagranadas disparar con mayor frecuencia...esperemos que no explote...","Experimental pieces of dubious manufacture that allow the grenade launcher to fire more frequently ... hopefully it doesn't explode ...",
"ITEM_SHOP_SPEED","Droga experimental, nos mantiene más alerta y nos permite movernos más rápido. (Se desconocen efectos secundarios)","Experimental drug, keeps us more alert and allows us to move faster (Side effects unknown)",
"ITEM_BUILD_TORRETA","Torreta de baja Construcción. ¡Tiene potencia! Pero demora mucho entre disparos :(","Low Construction Turret. It has power! But it takes a long time between shots :(",
"ITEM_BUILD_TORRETA2","Torreta experimental de gama media, es resistente y tiene gran potencia... pero son cada vez más escasas y costosas de fabricar.","Experimental turret of average quality, it is resistant and has great power ... but they are increasingly rare and expensive to manufacture.",
"ROUND_TIMER_TEXT","Pulso en:","Pulse in:",
"ROUND_TIMERBETWEEN_TEXT","Siguiente Ronda En","Next Round In",
"ROUND_END_TEXT","¡Oleada Terminada!","Wave Over!",
"SCORE_TOTAL_TEXT","Rondas Totales","Total Rounds",
"SCORE_NEW_TOTAL_TEXT","Nuevo","New",
"SCORE_NEW_HIGHSCORE","Puntaje más Alto","HighScore",
"SCORE_KILLCOUNT_TEXT","Enemigos Eliminados","Killed Enemies",
"SCORE_DAMAGECOUNT_TEXT","Daño Infligido","Damage Dealt",
"ENDLESS_TEXT1","Estos Corresponden a los últimos momentos del Escuadrón de Reconocimiento Terrestre C-12... o lo que quedaba de este antes de entablar contacto desde el núcleo de terraformación artificial.","These are the last moments of the C-12 Land Reconnaissance Squadron... or what was left of it before making contact from the artificial terraforming core.",
"ENDLESS_TEXT2","Debido a las condiciones climáticas lo único que el comando central podía recibir eran señales de petición de recursos. La zona era supuestamente segura, pero la actividad de la fauna local había aumentado considerablemente...","Due to the weather conditions, the only thing the central command could receive were resource request signals. The area was supposedly safe, but the activity of the local fauna had increased considerably...",
"ENDLESS_TEXT3_TITLE","Nota Experimental","Experimental Note",
"ENDLESS_TEXT3","La aplicación de la nueva técnica parece ser eficaz en evitar la detección de la actividad terraformadora por parte de la fauna local.","The application of the new technique appears to be effective in avoiding the detection of terraforming activity by local fauna.",